"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1908","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","580600","","","","0"
"1909","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","489600","","","","0"
"1910","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","363600","","","","0"
"1911","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","487400","","","","0"
"1912","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","430100","","","","0"
"1913","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","425900","","","","0"
"1914","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","354100","","","","0"
"1915","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","364900","","","","0"
"1916","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","159200","","","","0"
"1917","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","196800","","","","0"
"1918","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","361200","","","","0"
"1919","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","430400","","","","0"
"1920","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","364100","","","","0"
"1921","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","378600","","","","0"
"1922","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","350900","","","","0"
"1923","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","346000","","","","0"
"1924","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","304800","","","","0"
"1925","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","268000","","","","0"
"1926","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","198500","","","","0"
"1927","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","108000","","","","0"
"1928","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","132900","","","","0"
"1929","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","131600","","","","0"
"1930","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","148200","","","","0"
"1931","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","138600","","","","0"
"1932","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","128000","","","","0"
"1933","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","128000","","","","0"
"1934","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","173000","","","","0"
"1935","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","197000","","","","0"
"1936","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","155000","","","","0"
"1937","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","138000","","","","0"
"1938","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","195000","","","","0"
"1939","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","206000","","","","0"
"1940","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","177000","","","","0"
"1941","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","347700","","","","0"
"1942","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","373100","","","","0"
"1943","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","203300","","","","0"
"1944","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","303800","","","","0"
"1945","Canada","2021A000011124","Production (metric tonnes)","Corn for grain","Metric tonnes","214","units","0","v114995731","1.19.11","269800","","","","0"
