,source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,domaincat_desc,agg_level_desc,state_ansi,state_fips_code,state_alpha,state_name,asd_code,asd_desc,county_ansi,county_code,county_name,region_desc,zip_5,watershed_code,watershed_desc,congr_district_code,country_code,country_name,location_desc,year,freq_desc,begin_code,end_code,reference_period_desc,week_ending,load_time,Value,CV (%)
0,SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,0,,,9000,UNITED STATES,OTHER STATES,2025,ANNUAL,0,0,YEAR,,2025-08-12 12:00:00.000,157.8,
1,SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,0,,,9000,UNITED STATES,OTHER STATES,2025,ANNUAL,0,0,YEAR - AUG FORECAST,,2025-08-12 12:00:00.000,157.8,
2,SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,0,,,9000,UNITED STATES,OTHER STATES,2024,ANNUAL,0,0,YEAR,,2025-01-10 12:00:00.000,0.0,
3,SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,0,,,9000,UNITED STATES,OTHER STATES,2024,ANNUAL,0,0,YEAR - AUG FORECAST,,2024-08-12 12:00:00.000,160.5,
4,SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,0,,,9000,UNITED STATES,OTHER STATES,2024,ANNUAL,0,0,YEAR - NOV FORECAST,,2024-11-08 12:00:00.000,159.9,
5,SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,0,,,9000,UNITED STATES,OTHER STATES,2024,ANNUAL,0,0,YEAR - OCT FORECAST,,2024-10-11 12:00:00.000,159.9,
6,SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,0,,,9000,UNITED STATES,OTHER STATES,2024,ANNUAL,0,0,YEAR - SEP FORECAST,,2024-09-12 12:00:00.000,162.0,
7,SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,0,,,9000,UNITED STATES,OTHER STATES,2023,ANNUAL,0,0,YEAR,,2024-09-30 12:00:00.000,0.0,
8,SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,0,,,9000,UNITED STATES,OTHER STATES,2023,ANNUAL,0,0,YEAR - AUG FORECAST,,2023-08-11 12:00:00.000,162.4,
9,SURVEY,CROPS,FIELD CROPS,CORN,ALL CLASSES,ALL PRODUCTION PRACTICES,GRAIN,YIELD,BU / ACRE,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,STATE,,98,OT,OTHER STATES,,,,,,,,0,,,9000,UNITED STATES,OTHER STATES,2023,ANNUAL,0,0,YEAR - NOV FORECAST,,2023-11-09 12:00:00.000,162.2,
