asap0_id;name0_shr;asap1_id;name1_shr;crop_name;sos_s;sos_e;eos_s;eos_e,
13;Kyrgyzstan;353;Talas;Wheat (Spring);8;12;28;31,
13;Kyrgyzstan;410;Jalal-Abad;Wheat (Spring);8;12;29;32,
13;Kyrgyzstan;600;Batken;Wheat (Spring);8;11;29;32,
13;Kyrgyzstan;609;Naryn;Wheat (Spring);10;13;28;30,
13;Kyrgyzstan;611;Osh;Wheat (Spring);10;13;28;30,
13;Kyrgyzstan;612;Ysyk-Kol;Wheat (Spring);10;13;28;30,
13;Kyrgyzstan;2392;Chuy;Wheat (Spring);8;12;28;31,
20;Bangladesh;626;Rajshahi;Rice (Aman);16;23;29;36,
20;Bangladesh;626;Rajshahi;Rice (Aus);4;13;16;23,
20;Bangladesh;626;Rajshahi;Rice (Boro);35;6;10;15,
20;Bangladesh;626;Rajshahi;Sorghum;16;28;33;36,
20;Bangladesh;750;Chittagong;Rice (Aman);16;23;30;36,
20;Bangladesh;750;Chittagong;Rice (Aus);4;11;16;23,
20;Bangladesh;750;Chittagong;Rice (Boro);35;6;10;15,
20;Bangladesh;750;Chittagong;Sorghum;16;26;33;36,
20;Bangladesh;754;Dhaka;Rice (Aman);16;25;30;36,
20;Bangladesh;754;Dhaka;Rice (Aus);4;13;16;22,
20;Bangladesh;754;Dhaka;Rice (Boro);1;6;10;15,
20;Bangladesh;754;Dhaka;Sorghum;16;27;33;36,
20;Bangladesh;755;Khulna;Rice (Aman);14;24;29;36,
20;Bangladesh;755;Khulna;Rice (Aus);4;13;16;22,
20;Bangladesh;755;Khulna;Rice (Boro);1;6;10;15,
20;Bangladesh;755;Khulna;Sorghum;16;25;33;36,
20;Bangladesh;760;Sylhet;Rice (Aman);17;23;30;36,
20;Bangladesh;760;Sylhet;Rice (Aus);4;10;16;23,
20;Bangladesh;760;Sylhet;Rice (Boro);1;6;10;15,
20;Bangladesh;760;Sylhet;Sorghum;17;26;33;36,
20;Bangladesh;773;Barisal;Rice (Aman);18;23;32;36,
20;Bangladesh;773;Barisal;Rice (Aus);4;8;16;22,
20;Bangladesh;773;Barisal;Rice (Boro);2;6;11;15,
20;Bangladesh;773;Barisal;Sorghum;18;27;33;36,
20;Bangladesh;2293;Rangpur;Rice (Aman);21;23;30;36,
20;Bangladesh;2293;Rangpur;Rice (Aus);4;11;16;21,
20;Bangladesh;2293;Rangpur;Rice (Boro);4;6;12;15,
20;Bangladesh;2293;Rangpur;Sorghum;21;27;33;36,
29;Sudan;632;Northern Darfur;Millet;18;20;29;36,
29;Sudan;632;Northern Darfur;Sorghum;18;20;29;36,
29;Sudan;1711;White Nile;Millet;18;21;29;36,
29;Sudan;1711;White Nile;Sorghum;18;21;29;36,
29;Sudan;1717;Al Jazeera;Millet;19;22;29;36,
29;Sudan;1717;Al Jazeera;Sorghum;19;22;29;36,
29;Sudan;1718;Nile;Millet;19;20;29;36,
29;Sudan;1718;Nile;Sorghum;19;20;29;36,
29;Sudan;1719;Blue Nile;Millet;15;21;31;34,
29;Sudan;1719;Blue Nile;Sorghum;15;21;31;34,
29;Sudan;1720;Sennar;Millet;18;22;29;36,
29;Sudan;1720;Sennar;Sorghum;18;22;29;36,
29;Sudan;1722;Khartoum;Millet;19;21;28;36,
29;Sudan;1722;Khartoum;Sorghum;19;21;28;36,
29;Sudan;1723;Southern Darfur;Millet;16;20;29;34,
29;Sudan;1723;Southern Darfur;Sorghum;16;20;29;34,
29;Sudan;1730;West Darfur;Millet;17;20;29;34,
29;Sudan;1730;West Darfur;Sorghum;17;20;29;34,
29;Sudan;2118;Gadaref;Millet;17;22;29;36,
29;Sudan;2118;Gadaref;Sorghum;17;22;29;36,
29;Sudan;2192;South Kordofa;Millet;15;21;30;34,
29;Sudan;2192;South Kordofa;Sorghum;15;21;30;34,
29;Sudan;2381;Kassala;Millet;19;21;28;36,
29;Sudan;2381;Kassala;Sorghum;19;21;28;36,
29;Sudan;2383;North Kordofa;Millet;18;21;29;36,
29;Sudan;2383;North Kordofa;Sorghum;18;21;29;36,
33;Mozambique;121;Cabo Delgado;Maize;32;35;19;21,
33;Mozambique;122;Gaza;Maize;31;33;17;22,
33;Mozambique;123;Inhambane;Maize;31;34;20;23,
33;Mozambique;125;Manica;Maize;30;33;17;21,
33;Mozambique;127;Nampula;Maize;32;35;20;22,
33;Mozambique;129;Niassa;Maize;31;33;18;20,
33;Mozambique;130;Zambezia;Maize;31;32;22;23,
33;Mozambique;131;Sofala;Maize;31;33;20;22,
33;Mozambique;133;Tete;Maize;32;34;15;18,
33;Mozambique;2284;Maputo;Maize;30;31;16;20,
35;Cuba;976;Camaguey;Rice (Main);9;13;19;21,
35;Cuba;976;Camaguey;Sweet Potatoes;23;25;34;5,
35;Cuba;985;Guantanamo;Rice (Main);10;12;18;20,
35;Cuba;985;Guantanamo;Sweet Potatoes;23;25;1;4,
35;Cuba;986;Holguin;Rice (Main);11;14;19;21,
35;Cuba;986;Holguin;Sweet Potatoes;23;26;1;7,
35;Cuba;987;Granma;Rice (Main);9;12;19;21,
35;Cuba;987;Granma;Sweet Potatoes;23;25;34;3,
35;Cuba;988;Las Tunas;Rice (Main);11;14;19;21,
35;Cuba;988;Las Tunas;Sweet Potatoes;24;25;1;7,
35;Cuba;994;Santiago De Cuba;Rice (Main);10;12;19;21,
35;Cuba;994;Santiago De Cuba;Sweet Potatoes;23;26;1;4,
41;Laos;509;Bolikhamxai;Rice (Wet season);18;21;33;1,
41;Laos;1119;Vientiane;Rice (Wet season);15;20;32;3,
41;Laos;1263;Champasak;Rice (Wet season);13;22;33;35,
41;Laos;1269;Khammouan;Rice (Wet season);15;22;32;34,
41;Laos;1272;Salavan;Rice (Wet season);15;21;32;34,
41;Laos;1273;Savannakhet;Rice (Wet season);15;21;32;36,
41;Laos;1279;Vientiane;Rice (Wet season);14;21;33;36,
51;Madagascar;60;Androy;Rice;32;34;18;20,
51;Madagascar;60;Androy;Sorghum;34;1;21;25,
51;Madagascar;1758;Vatovavy F.;Sorghum;33;3;21;24,
51;Madagascar;1914;Haute Matsiatra;Rice;31;33;17;22,
51;Madagascar;1999;Alaotra Mangoro;Rice;33;4;15;20,
51;Madagascar;2000;Amoron I Mania;Rice;31;33;17;22,
51;Madagascar;2002;Analamanga;Rice;29;34;17;21,
51;Madagascar;2004;Analanjirofo;Rice;35;2;15;20,
51;Madagascar;2012;Anosy;Rice;31;34;17;20,
51;Madagascar;2012;Anosy;Sorghum;33;1;21;26,
51;Madagascar;2016;Atsimo Andrefana;Rice;30;36;16;20,
51;Madagascar;2016;Atsimo Andrefana;Sorghum;34;2;21;25,
51;Madagascar;2021;Atsimo A.;Rice;30;36;18;20,
51;Madagascar;2021;Atsimo A.;Sorghum;32;36;21;23,
51;Madagascar;2039;Bongolava;Rice;31;34;16;19,
51;Madagascar;2044;Diana;Rice;31;34;17;20,
51;Madagascar;2045;Betsiboka;Rice;31;34;16;20,
51;Madagascar;2048;Boeny;Rice;31;34;16;22,
51;Madagascar;2062;Ihorombe;Rice;32;34;17;21,
51;Madagascar;2063;Itasy;Rice;30;33;16;19,
51;Madagascar;2068;Menabe;Rice;29;35;16;20,
51;Madagascar;2069;Sava;Rice;34;2;18;20,
