asap1_id,name1,,name1_shr,asap0_id,name0,name0_shr,rs_m_s,rs_m_e,rs2_m_s,rs2_m_e,,
684,Administrative unit not available,,Unit unavailable,73,Abyei,Abyei,,,,,,
703,Badakhshan,,Badakhshan,67,Afghanistan,Afghanistan,,,,,,
343,Badghis,,Badghis,67,Afghanistan,Afghanistan,,,,,,
696,Baghlan,,Baghlan,67,Afghanistan,Afghanistan,,,,,,
266,Balkh,,Balkh,67,Afghanistan,Afghanistan,,,,,,
269,Bamyan,,Bamyan,67,Afghanistan,Afghanistan,,,,,,
2339,Daykundi,,Daykundi,67,Afghanistan,Afghanistan,,,,,,
273,Farah,,Farah,67,Afghanistan,Afghanistan,,,,,,
274,Faryab,,Faryab,67,Afghanistan,Afghanistan,,,,,,
278,Ghazni,,Ghazni,67,Afghanistan,Afghanistan,,,,,,
280,Ghor,,Ghor,67,Afghanistan,Afghanistan,,,,,,
402,Hilmand,,Hilmand,67,Afghanistan,Afghanistan,,,,,,
282,Hirat,,Hirat,67,Afghanistan,Afghanistan,,,,,,
283,Jawzjan,,Jawzjan,67,Afghanistan,Afghanistan,,,,,,
284,Kabul,,Kabul,67,Afghanistan,Afghanistan,,,,,,
281,Kandahar,,Kandahar,67,Afghanistan,Afghanistan,,,,,,
705,Kapisa,,Kapisa,67,Afghanistan,Afghanistan,,,,,,
707,Khost,,Khost,67,Afghanistan,Afghanistan,,,,,,
708,Kunar,,Kunar,67,Afghanistan,Afghanistan,,,,,,
709,Kunduz,,Kunduz,67,Afghanistan,Afghanistan,,,,,,
710,Laghman,,Laghman,67,Afghanistan,Afghanistan,,,,,,
101,Logar,,Logar,67,Afghanistan,Afghanistan,,,,,,
116,Nangarhar,,Nangarhar,67,Afghanistan,Afghanistan,,,,,,
712,Nimroz,,Nimroz,67,Afghanistan,Afghanistan,,,,,,
701,Nuristan,,Nuristan,67,Afghanistan,Afghanistan,,,,,,
27,Paktika,,Paktika,67,Afghanistan,Afghanistan,,,,,,
45,Paktya,,Paktya,67,Afghanistan,Afghanistan,,,,,,
2342,Panjsher,,Panjsher,67,Afghanistan,Afghanistan,,,,,,
357,Parwan,,Parwan,67,Afghanistan,Afghanistan,,,,,,
286,Samangan,,Samangan,67,Afghanistan,Afghanistan,,,,,,
287,Sar-e-Pul,,Sar-e-Pul,67,Afghanistan,Afghanistan,,,,,,
180,Takhar,,Takhar,67,Afghanistan,Afghanistan,,,,,,
1863,Uruzgan,,Uruzgan,67,Afghanistan,Afghanistan,,,,,,
267,Wardak,,Wardak,67,Afghanistan,Afghanistan,,,,,,
288,Zabul,,Zabul,67,Afghanistan,Afghanistan,,,,,,
452,Administrative unit not available,,Unit unavailable,204,Aksai Chin,Aksai Chin,,,,,,
478,Albania,,Albania,124,Albania,Albania,,,,,,
289,Adrar,,Adrar,105,Algeria,Algeria,,,,,,
453,Ain-Defla,,Ain-Defla,105,Algeria,Algeria,,,,,,
290,Ain-Temouchent,,Ain-Temouchent,105,Algeria,Algeria,,,,,,
222,Alger,,Alger,105,Algeria,Algeria,,,,,,
713,Annaba,,Annaba,105,Algeria,Algeria,,,,,,
685,Batna,,Batna,105,Algeria,Algeria,,,,,,
294,Bechar,,Bechar,105,Algeria,Algeria,,,,,,
297,Bejaia,,Bejaia,105,Algeria,Algeria,,,,,,
299,Biskra,,Biskra,105,Algeria,Algeria,,,,,,
270,Blida,,Blida,105,Algeria,Algeria,,,,,,
275,Bordj Bou Arrer,,Bordj Bou Arrer,105,Algeria,Algeria,,,,,,
413,Bouira,,Bouira,105,Algeria,Algeria,,,,,,
717,Boumerdes,,Boumerdes,105,Algeria,Algeria,,,,,,
704,Chlef,,Chlef,105,Algeria,Algeria,,,,,,
720,Constantine,,Constantine,105,Algeria,Algeria,,,,,,
714,Djelfa,,Djelfa,105,Algeria,Algeria,,,,,,
303,El Bayadh,,El Bayadh,105,Algeria,Algeria,,,,,,
721,El Oued,,El Oued,105,Algeria,Algeria,,,,,,
726,El-Tarf,,El-Tarf,105,Algeria,Algeria,,,,,,
727,Ghardaia,,Ghardaia,105,Algeria,Algeria,,,,,,
13,Guelma,,Guelma,105,Algeria,Algeria,,,,,,
